datetime,temperature,humidity,wind_speed,load
2024-01-01 00:00:00,1.5,81.7,16.0,663.1
2024-01-01 01:00:00,-0.4,70.4,10.5,717.6
2024-01-01 02:00:00,1.9,70.9,9.1,647.2
2024-01-01 03:00:00,4.6,79.7,25.5,679.7
2024-01-01 04:00:00,-0.7,76.5,11.4,847.5
2024-01-01 05:00:00,-0.7,74.6,9.6,890.4
2024-01-01 06:00:00,4.7,82.0,10.5,695.5
2024-01-01 07:00:00,2.3,77.8,9.6,837.6
2024-01-01 08:00:00,-1.4,77.2,14.6,956.7
2024-01-01 09:00:00,1.6,80.8,10.0,886.0
2024-01-01 10:00:00,-1.4,75.0,13.2,1008.7
2024-01-01 11:00:00,-1.4,84.8,13.5,982.3
2024-01-01 12:00:00,0.7,73.0,13.2,1011.1
2024-01-01 13:00:00,-5.7,80.2,11.8,1206.4
2024-01-01 14:00:00,-5.2,84.1,13.8,1119.4
2024-01-01 15:00:00,-1.7,70.1,9.5,949.0
2024-01-01 16:00:00,-3.0,75.2,8.4,1009.3
2024-01-01 17:00:00,1.0,82.7,13.5,863.0
2024-01-01 18:00:00,-2.7,82.8,10.1,986.1
2024-01-01 19:00:00,-4.2,76.1,8.4,946.7
2024-01-01 20:00:00,4.4,73.3,8.4,689.7
2024-01-01 21:00:00,-0.7,81.8,8.5,766.0
2024-01-01 22:00:00,0.2,82.9,12.2,781.2
2024-01-01 23:00:00,-4.3,71.2,11.7,906.7
2024-01-02 00:00:00,-1.6,71.0,8.7,867.6
2024-01-02 01:00:00,0.3,78.1,13.6,705.2
2024-01-02 02:00:00,-3.4,80.2,9.0,934.2
2024-01-02 03:00:00,1.1,75.5,12.7,700.5
2024-01-02 04:00:00,-1.8,80.4,10.0,830.2
2024-01-02 05:00:00,-0.9,73.5,11.9,808.7
2024-01-02 06:00:00,-1.8,66.5,9.4,920.6
2024-01-02 07:00:00,5.6,74.9,9.3,694.7
2024-01-02 08:00:00,-0.0,77.4,13.5,869.1
2024-01-02 09:00:00,-3.2,75.7,8.1,1043.7
2024-01-02 10:00:00,2.5,71.3,19.0,881.3
2024-01-02 11:00:00,-3.6,68.0,11.1,1079.1
2024-01-02 12:00:00,0.6,74.5,9.7,932.1
2024-01-02 13:00:00,-5.9,81.6,11.0,1227.3
2024-01-02 14:00:00,-4.0,83.4,8.4,1092.2
2024-01-02 15:00:00,0.6,83.1,10.2,937.2
2024-01-02 16:00:00,2.2,73.1,20.6,843.3
2024-01-02 17:00:00,0.5,71.4,8.8,831.8
2024-01-02 18:00:00,-0.3,79.6,11.8,886.9
2024-01-02 19:00:00,-0.9,80.3,9.7,843.5
